1001 TENNIS SWIMMING AEROBICS                                                   
1002 FOOTBALL BASKETBALL TENNIS                                                 
1003 AEROBICS SWIMMING CYCLING                                                  
1004 GOLF JOGGING TENNIS                                                        
1005 WALKING AEROBICS TENNIS                                                    
1006 TENNIS SWIMMING AEROBICS                                                   
1007 FOOTBALL GOLF TENNIS                                                       
1008 BASEBALL SWIMMING CYCLING                                                  
1009 AEROBICS WALKING SQUASH                                                    
1010 WALKING AEROBICS TENNIS                                                    
1011 TENNIS SWIMMING AEROBICS                                                   
1012 GOLF SWIMMING TENNIS                                                       
1013 AEROBICS SWIMMING CYCLING                                                  
1014 SWIMMING WALKING SQUASH                                                    
1015 WALKING AEROBICS TENNIS                                                    
1016 TENNIS SWIMMING AEROBICS                                                   
1017 FOOTBALL BASEBALL GOLF                                                     
1018 AEROBICS SWIMMING CYCLING                                                  
1019 WALKING GOLF TENNIS                                                        
1020 WALKING AEROBICS TENNIS                                                    
1021 TENNIS SWIMMING AEROBICS                                                   
1022 FOOTBALL BASKETBALL TENNIS                                                 
1023 AEROBICS GOLF CYCLING                                                      
1024 AEROBICS WALKING GOLF                                                      
1025 WALKING AEROBICS TENNIS                                                    
1026 TENNIS SWIMMING AEROBICS                                                   
1027 FOOTBALL BASKETBALL TENNIS                                                 
1028 AEROBICS SWIMMING CYCLING                                                  
1029 TENNIS SQUASH VOLLEYBALL                                                   
1030 SWIMMING VOLLEYBALL BASKETBALL                                             
1031 TENNIS SWIMMING AEROBICS                                                   
1032 FOOTBALL BASKETBALL TENNIS                                                 
1033 AEROBICS SWIMMING CYCLING                                                  
1034 AEROBICS WALKING GOLF                                                      
1035 WALKING AEROBICS TENNIS                                                    
1036 WALKING SWIMMING AEROBICS                                                  
1037 FOOTBALL BASKETBALL TENNIS                                                 
1038 BASEBALL SWIMMING CYCLING                                                  
1039 AEROBICS WALKING SOFTBALL                                                  
1040 BASKETBALL AEROBICS TENNIS                                                 
1041 TENNIS TENNIS TENNIS                                                       
1042 BASKETBALL SWIMMING TENNIS                                                 
