     1 1 17 3 1  101   .  45  45  49  41  47  47
     1 1 17 3 1   92  50  42  44  60  56  50  47
     2 2 18 1 1   91  53  41  40  46  56  50  52
     2 2 18 1 1   97  53  51  52  54  48  49  55
     3 2 16 1 1   87  43  44  39  37  37  40  37
     3 2 16 1 1   85  33  27  28  44  32  34  52
     4 2 16 2 2  122  39  49  45  59   .  68  38
     4 2 16 2 2  113  56  54  49  60  60  66  47
     5 1 17 4 2  105  43  39  49  61  46  44  42
     5 1 17 4 2  111  41  46  44  55  55  56  73
     6 2 15 1 1  107  46  47  45  59  57  57  71
     6 2 15 1 1   89  41  53  53  50  53  58  44
     7 2 16 2 2   85  51  59  57  46  39  39  40
     7 2 16 2 2  105  38  40  42  44  48  45  40
     8 2 15 2 2   87  42  46  38  36  46  44  42
     8 2 15 2 2  107  49  49  46  60  60  61  44
     9 2 17 2 2   85  38  42  41  41  45  42  51
     9 2 17 2 2  100  37  55  51  40  45  51  50
    10 2 14 1 1    .  53  52  55  52  49  44  42
    10 2 14 1 1   99  56  47  51  46  32  35  55
    11 1 15 4 2   93  38  32  43   .  30  37  32
    11 1 15 4 2   93  32  46  51  46  35  26  43
    12 2 16 5 2  112  59  64  69  55  61  58  49
    12 1 16 6 2   74  48  55  49  25  35  24  49
    13 2 13 2 2  101  49  39  48  36  33  40  46
    13 2 13 2 2  107  56  52  51  55  50  62  43
    14 2 18 2 2   95  47  55  48  40  37  41  44
    14 2 18 2 2   97  42  42  52  45   .  37  38
    15 2 15 1 1   98  56  37  40  49  56  52  35
    15 2 15 1 1  106  60  47  50  50  53  51   .
    16 1 18 3 1   92  35  30   .  45  47  49  48
    16 1 18 3 1   96  50  42  59  64  34  42  58
    17 2 18 1 1   93  42  54  49  42  49  47  34
    17 2 18 1 1  115  54  43  55  59  64  56  39
    18 2 16 2 2  105  68  59  47  62  56  63  74
    18 2 16 2 2   78  36  42  41  57  49  44  46
    19 1 17 4 2   89  57  55  42  57  41  42  49
    19 1 17 4 2   82  49  42  46  39   .  30  44
    20 2 16 5 2  106  51  56  54  47  68  65  64
    20 1 16 6 2   95  59  50  60  56  55  51  68
    21 2 18 1 1   90  33  38  32  31  31  42  53
    21 2 18 1 1   99  44  42  49  48  49  55  36
    22 1 13 3 1   88  44  56  51  48  50  50  72
    22 1 13 3 1   96  51  58  53  43  45  51  58
    23 2 17 5 2  120  63  64  57  40  42  40  70
    23 1 17 6 2  120  51  58  57  60  46  50  46
    24 2 16 5 2  110  61  47  60  58  53  60  51
    24 1 16 6 2   94  62  49   .  52  45  49  54
